City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
259,cayenne,4.9333,-52.3333,25.02,94,20,2.06,GF,1681851705
260,mityana,0.4175,32.0228,16.91,98,72,0.77,UG,1681851705
261,tiksi,71.6872,128.8694,-18.34,100,100,2.8,RU,1681851705
262,tautira,-17.7333,-149.15,27.91,77,85,6.93,PF,1681851705
263,marsa matruh,31.3525,27.2453,17.85,75,95,3.18,EG,1681851705
264,san andres,12.5847,-81.7006,30.01,62,75,5.14,CO,1681851705
265,senneterre,48.3835,-77.2328,3.38,92,100,3.89,CA,1681851705
266,luderitz,-26.6481,15.1594,20.19,49,0,1.68,NA,1681851705
267,elko,41.0002,-115.5012,2.01,55,85,13.41,US,1681851705
268,caravelas,-17.7125,-39.2481,26.06,84,12,4.29,BR,1681851705
269,saldanha,-33.0117,17.9442,15.59,82,9,4.56,ZA,1681851705
270,bukachacha,52.9833,116.9167,-3.09,55,79,1.4,RU,1681851705
271,avera,33.194,-82.5271,27.03,32,4,1.61,US,1681851705
272,nisia floresta,-6.0911,-35.2086,27.45,85,26,2.65,BR,1681851705
273,korla,41.7597,86.1469,9.29,35,100,6.46,CN,1681851705
274,ballina,-28.8667,153.5667,16.55,68,100,3.57,AU,1681851705
275,namibe,-15.1961,12.1522,25.62,71,49,2.03,AO,1681851705
276,butaritari,3.0707,172.7902,27.89,76,75,5.13,KI,1681851705
277,dombarovskiy,50.7587,59.5386,3.39,75,97,2.74,RU,1681851705
278,karratha,-20.7377,116.8463,23.17,38,5,4.84,AU,1681851705
279,jaciara,-15.9653,-54.9683,26.35,81,90,2.04,BR,1681851705
280,petropavlovsk-kamchatskiy,53.0452,158.6483,3.33,70,75,3.0,RU,1681851705
281,kruisfontein,-34.0033,24.7314,16.6,92,2,1.67,ZA,1681851705
282,pulaski,34.7668,-92.3001,28.09,31,20,5.14,US,1681851705
283,atar,20.5169,-13.0499,29.22,21,4,3.11,MR,1681851705
284,sao gabriel da cachoeira,-0.1303,-67.0892,28.96,76,82,0.37,BR,1681851705
285,terra santa,-2.1042,-56.4869,25.55,90,92,1.43,BR,1681851705
286,cidreira,-30.1811,-50.2056,21.27,56,39,1.77,BR,1681851705
287,sur,22.5667,59.5289,26.54,63,100,3.91,OM,1681851705
288,caloundra,-26.8,153.1333,18.4,81,100,5.41,AU,1681851705
289,bairnsdale,-37.8333,147.6167,11.14,94,17,2.29,AU,1681851705
290,lerwick,60.1545,-1.1494,7.0,82,61,4.02,GB,1681851705
291,itoman,26.1247,127.6694,23.21,88,100,9.26,JP,1681851705
292,broken hill,-31.95,141.4333,13.59,66,1,5.42,AU,1681851705
293,antofagasta,-23.65,-70.4,18.6,76,49,4.48,CL,1681851705
294,ingleside,27.8778,-97.2117,25.13,100,40,7.72,US,1681851705
295,mwinilunga,-11.7358,24.4293,16.07,96,82,1.75,ZM,1681851705
296,yatou,37.15,122.3833,8.8,76,0,1.61,CN,1681851705
297,sawtell,-30.3833,153.1,17.01,82,75,3.6,AU,1681851705
298,richards bay,-28.783,32.0377,19.18,90,0,3.31,ZA,1681851705
299,pacific grove,36.6177,-121.9166,16.32,59,0,5.66,US,1681851705
300,kindu,-2.95,25.95,21.19,98,100,0.62,CD,1681851705
301,half moon bay,37.4636,-122.4286,17.11,42,0,6.69,US,1681851705
302,suyan,6.0603,125.3853,24.5,86,20,1.5,PH,1681851705
303,aripuana,-9.1667,-60.6333,25.64,96,100,1.22,BR,1681851705
304,cap malheureux,-19.9842,57.6142,26.37,77,8,2.24,MU,1681851705
305,port blair,11.6667,92.75,27.39,84,94,3.05,IN,1681851705
306,irbeyskoye,55.6428,95.4522,-9.79,72,100,8.29,RU,1681851705
307,skibotn,69.3913,20.2679,5.35,97,100,3.73,NO,1681851705
308,lac du bonnet,50.2536,-96.0612,8.84,29,100,3.92,CA,1681851705
309,vanavara,60.34,102.2797,-11.78,89,100,5.88,RU,1681851705
310,beyneu,45.3167,55.2,9.31,36,16,6.21,KZ,1681851705
311,aktash,50.3,87.7333,-19.69,91,86,2.25,RU,1681851705
312,posadas,-27.3671,-55.8961,23.71,38,0,5.14,AR,1681851705
313,bonavista,48.6499,-53.1147,-0.57,83,100,4.69,CA,1681851705
314,labrea,-7.2586,-64.7981,27.89,82,100,0.66,BR,1681851705
315,sabang,5.8933,95.3214,28.08,76,97,2.07,ID,1681851705
316,grindavik,63.8424,-22.4338,8.26,100,100,5.14,IS,1681851705
317,quelimane,-17.8786,36.8883,20.65,83,1,1.13,MZ,1681851705
318,kendari,-3.945,122.4989,23.98,95,50,0.77,ID,1681851705
319,torbay,47.6666,-52.7314,2.44,89,100,1.79,CA,1681851705
320,minggang,32.4586,114.0486,18.17,87,99,3.31,CN,1681851705
321,loei,17.4167,101.5,25.25,55,0,2.59,TH,1681851705
322,fortuna,40.5982,-124.1573,13.29,61,100,3.13,US,1681851705
323,kasempa,-13.4584,25.8338,19.38,80,98,2.16,ZM,1681851705
324,gawan,28.4333,78.35,28.78,26,29,2.6,IN,1681851705
325,ilulissat,69.2167,-51.1,-7.27,91,99,1.83,GL,1681851705
326,dzilam gonzalez,21.2833,-88.9333,29.17,45,0,5.31,MX,1681851705
327,pyapon,16.2833,95.6833,26.45,84,10,4.36,MM,1681851705
328,esperance,-33.8667,121.9,15.33,55,94,1.47,AU,1681851705
329,berdigestyakh,62.0989,126.6992,-9.63,97,97,1.44,RU,1681851705
